,open,high,low,close,volume,date
440,133.3200,134.3100,132.5900,134.2400,2955870,2023-07-05
441,133.4200,134.3500,132.8700,133.6700,1477149,2023-07-03
442,134.6900,135.0300,133.4250,133.8100,4236677,2023-06-30
443,131.7500,134.3500,131.6900,134.0600,3639836,2023-06-29
444,132.0600,132.1700,130.9100,131.7600,2753779,2023-06-28
445,131.3000,132.9500,130.8300,132.3400,3219909,2023-06-27
446,129.3900,131.4100,129.3100,131.3400,4845649,2023-06-26
447,130.4000,130.6200,129.1800,129.4300,11324705,2023-06-23
448,131.6800,132.9600,130.6800,131.1700,6013021,2023-06-22
449,135.1100,135.3900,133.2900,133.6900,5501272,2023-06-21
450,136.3600,137.2300,135.8900,135.9600,4272511,2023-06-20
451,139.2300,139.4690,137.4700,137.4800,7473676,2023-06-16
452,137.2700,138.8000,137.1750,138.4000,3812582,2023-06-15
453,137.8000,138.9300,136.9400,137.2000,4514888,2023-06-14
454,136.5100,138.1700,136.0000,137.6000,3927331,2023-06-13
455,136.0000,136.6200,135.8216,136.4200,4500120,2023-06-12
456,134.3600,136.1000,134.1700,135.3000,3981748,2023-06-09
457,134.6900,135.9800,134.0100,134.4100,4128939,2023-06-08
458,132.5000,134.4400,132.1900,134.3800,5772024,2023-06-07
459,132.4300,132.9400,131.8800,132.6900,3297951,2023-06-06
460,133.1200,133.5800,132.2700,132.6400,3993516,2023-06-05
461,130.3800,133.1200,130.1500,132.4200,5375796,2023-06-02
462,128.4400,130.1450,127.7800,129.8200,4136086,2023-06-01
463,128.5100,129.4400,127.4600,128.5900,11086313,2023-05-31
464,129.5600,130.0699,128.2600,129.4800,3741050,2023-05-30
465,127.0600,129.6600,126.8100,128.8900,5612570,2023-05-26
466,125.6100,127.2300,125.0100,126.7600,4102854,2023-05-25
467,127.8200,127.9000,125.4700,125.6800,3915505,2023-05-24
468,127.2400,129.0900,127.1300,128.1800,4592280,2023-05-23
469,127.5000,128.1900,127.1500,127.5000,2806770,2023-05-22
470,126.7900,128.2900,126.5500,127.2600,4306657,2023-05-19
471,125.3000,126.5100,125.1894,126.1500,3797883,2023-05-18
472,123.9400,125.8500,123.4700,125.7100,4515134,2023-05-17
473,123.3500,123.8600,122.4500,123.4600,2749125,2023-05-16
474,123.0000,123.6881,122.3400,123.3600,2915725,2023-05-15
475,121.4100,122.8600,121.1100,122.8400,4564825,2023-05-12
476,122.0200,122.2400,120.5500,120.9000,3446452,2023-05-11
477,121.9900,122.4900,121.1000,122.0200,4189222,2023-05-10
478,121.9000,121.9700,120.6600,121.1700,4540047,2023-05-09
479,123.7600,123.9200,122.5500,123.4000,3663818,2023-05-08
480,123.1100,124.1000,122.8050,123.6500,4971936,2023-05-05
481,123.0300,123.5200,121.7563,122.5700,4468237,2023-05-04
482,125.4600,125.5700,123.2600,123.4500,4554212,2023-05-03
483,126.3000,126.4500,123.2700,125.1600,4445283,2023-05-02
484,126.3500,126.7500,126.0600,126.0900,2724992,2023-05-01
485,126.5800,127.2500,125.6400,126.4100,5061247,2023-04-28
486,126.3700,127.0200,125.4550,126.9700,3204889,2023-04-27
487,125.8100,126.5450,125.1200,125.8500,4058800,2023-04-26
488,124.9000,126.1900,124.7600,125.8900,4275396,2023-04-25
489,125.5500,126.0500,124.5600,125.4000,4043892,2023-04-24
490,126.0000,126.7000,125.2700,125.7300,6725426,2023-04-21
491,130.1500,130.9800,125.8400,126.3600,9749618,2023-04-20
492,126.5000,126.9800,125.3000,126.3200,7014368,2023-04-19
493,128.1400,128.6800,127.3500,127.7800,3193787,2023-04-18
494,128.3000,128.7200,126.8000,127.8200,3657929,2023-04-17
495,128.4600,129.8400,127.3100,128.1400,4180614,2023-04-14
496,128.0100,128.3900,126.0000,127.9000,5621512,2023-04-13
497,130.4000,130.8857,128.1700,128.5400,3957542,2023-04-12
498,130.5800,131.1050,130.1800,130.4200,3132430,2023-04-11
499,129.8300,131.0800,129.2400,131.0300,2614402,2023-04-10
500,132.1600,132.6000,130.3150,130.5000,3050581,2023-04-06
501,131.3700,132.6100,131.3700,132.1400,2898759,2023-04-05
502,131.9900,132.1499,130.8900,131.6000,3382783,2023-04-04
503,130.9700,132.6100,130.7700,132.0600,3840139,2023-04-03
504,129.4700,131.2300,129.4200,131.0900,4524686,2023-03-31
505,130.1600,131.4800,129.1000,129.2200,3561762,2023-03-30
506,130.1200,130.3500,129.1800,129.7100,3279846,2023-03-29
507,129.1800,129.6600,128.8000,129.3400,2889115,2023-03-28
508,126.4700,130.2550,126.4700,129.3100,6524113,2023-03-27
509,123.3600,125.4000,122.8800,125.2900,3812644,2023-03-24
510,123.8100,124.9300,122.6000,123.3700,4651936,2023-03-23
511,127.0000,127.2150,124.0100,124.0500,3549024,2023-03-22
512,126.9000,127.1500,125.6600,126.5700,3856345,2023-03-21
513,124.3100,126.1600,124.1900,125.9400,4588304,2023-03-20
514,124.0800,124.5200,122.9300,123.6900,37400167,2023-03-17
515,122.9600,124.8200,121.9200,124.7000,6440023,2023-03-16
516,122.9900,123.3500,121.7100,123.2800,5989339,2023-03-15
517,126.4900,126.6400,123.2000,124.6500,8114792,2023-03-14
518,125.1500,128.1900,124.8500,125.5800,8188369,2023-03-13
519,126.1200,127.2900,125.1300,125.4500,5990867,2023-03-10
